Vehicle ID,Service Date,Mileage,Service Center,Service Type,Cost,Notes,Technician Name,Parts Replaced
AP13L5733,2011-06-12,52000,QuickFix Auto Service,Full Service,380.00,"Mid-year maintenance",John Smith,"Oil, filters, comprehensive check"
AP13L5733,2012-01-28,58000,ProCar Maintenance,Timing Belt,550.00,"Critical maintenance item",Mike Johnson,"Timing belt, tensioner, water pump"
AP13L5733,2012-08-15,65000,AutoCare Plus,Full Service,410.00,"Comprehensive inspection",Sarah Williams,"Oil, filters, full inspection"
AP13L5733,2013-03-22,72000,QuickFix Auto Service,Clutch Replacement,680.00,"Major repair",Tom Brown,"Clutch kit, flywheel resurfacing"
AP13L5733,2013-10-10,78000,ProCar Maintenance,Full Service,440.00,"Annual service",John Smith,"Oil, filters, winter preparation"
AP13L5733,2014-05-18,85000,AutoCare Plus,Suspension Service,520.00,"Shock absorbers replacement",Mike Johnson,"Front and rear shocks"
AP13L5733,2015-01-05,92000,QuickFix Auto Service,Full Service,470.00,"New year maintenance",Sarah Williams,"Oil, filters, battery check"
AP13L5733,2015-08-20,98000,ProCar Maintenance,Engine Service,850.00,"Major engine tune-up",Tom Brown,"Spark plugs, wires, coils"
AP13L5733,2016-03-15,105000,AutoCare Plus,Full Service,520.00,"Comprehensive service",Mike Johnson,"Oil, filters, timing check"
AP13L5733,2016-10-25,112000,QuickFix Auto Service,Brake Overhaul,750.00,"Complete brake system",Sarah Williams,"Calipers, rotors, pads"
AP13L5733,2017-05-10,118000,ProCar Maintenance,Transmission Service,950.00,"Transmission rebuild",Tom Brown,"Transmission rebuild kit"
AP13L5733,2018-01-20,125000,AutoCare Plus,Full Service,580.00,"Major service interval",Mike Johnson,"Oil, filters, belts, hoses"
AP13L5733,2018-09-15,132000,QuickFix Auto Service,AC Service,450.00,"Air conditioning repair",Sarah Williams,"AC compressor, refrigerant"
AP13L5733,2019-04-10,138000,ProCar Maintenance,Suspension Overhaul,1200.00,"Complete suspension",Tom Brown,"Struts, mounts, alignment"
AP13L5733,2020-02-25,145000,AutoCare Plus,Full Service,650.00,"Comprehensive inspection",Mike Johnson,"Oil, filters, full system check"
AP13L5733,2020-11-20,152000,QuickFix Auto Service,Engine Repair,2500.00,"Major engine repair",Sarah Williams,"Head gasket, valve job"
AP13L5733,2021-06-15,158000,ProCar Maintenance,Full Service,700.00,"Annual service",Tom Brown,"Oil, filters, comprehensive check"
AP13L5733,2022-03-10,165000,AutoCare Plus,Clutch Replacement,1100.00,"Clutch system replacement",Mike Johnson,"Clutch kit, flywheel, bearing"
AP13L5733,2022-12-05,172000,QuickFix Auto Service,Full Service,750.00,"Year-end maintenance",Sarah Williams,"Oil, filters, winter prep"
AP13L5733,2023-07-20,178000,ProCar Maintenance,Brake Service,850.00,"Complete brake service",Tom Brown,"All brake components"
AP13L5733,2024-02-25,107800,Vijayawada Service Center,Major Service,12000.00,"Latest major service",John Smith,"Complete overhaul with all fluids"
RJ06KL1234,2019-08-15,5000,Jaipur Auto Garage,Initial Service,150.00,"First service after purchase",Vikram Singh,"Oil filter, Engine oil"
RJ06KL1234,2020-02-20,15000,Jaipur Auto Garage,Oil Change,45.00,"Regular maintenance",Vikram Singh,"Engine oil, Oil filter"
RJ06KL1234,2020-10-10,25000,QuickService Jaipur,Full Service,280.00,"Annual service completed",Rajesh Kumar,"Oil, filters, inspection"
RJ06KL1234,2021-06-22,35000,Jaipur Auto Garage,Brake Service,195.00,"Brake pads replacement",Vikram Singh,"Front brake pads, brake fluid"
RJ06KL1234,2022-03-15,45000,Jaipur Auto Garage,Full Service,320.00,"Comprehensive check-up",Rajesh Kumar,"Oil, filters, spark plugs"
RJ06KL1234,2022-12-10,75000,Jaipur Auto Garage,Full Service,3000.00,"Major service interval",Vikram Singh,"Oil, filters, belts inspection"
RJ06KL1234,2024-02-20,77900,Jaipur Auto Garage,Clutch Replacement,15000.00,"Complete clutch replacement",Vikram Singh,"Clutch kit, flywheel, bearing"
WB07MN5678,2020-10-15,3000,Kolkata Auto Center,Initial Service,150.00,"First service after purchase",Anjali Banerjee,"Oil filter, Engine oil"
WB07MN5678,2021-04-20,12000,Kolkata Auto Center,Oil Change,45.00,"Regular maintenance",Anjali Banerjee,"Engine oil, Oil filter"
WB07MN5678,2022-01-10,22000,QuickService Kolkata,Full Service,280.00,"Annual service completed",Subrata Roy,"Oil, filters, inspection"
WB07MN5678,2023-03-01,40900,Kolkata Auto Center,Battery Replacement,4500.00,"Battery and electrical service",Anjali Banerjee,"Battery, alternator check"
UP08OP9012,2018-09-15,5000,Lucknow Motor Works,Initial Service,150.00,"First service after purchase",Rahul Verma,"Oil filter, Engine oil"
UP08OP9012,2019-03-20,15000,Lucknow Motor Works,Oil Change,45.00,"Regular maintenance",Rahul Verma,"Engine oil, Oil filter"
UP08OP9012,2020-01-15,35000,Lucknow Motor Works,Suspension Repair,8500.00,"Suspension overhaul",Rahul Verma,"Shocks, struts, mounts"
UP08OP9012,2020-10-20,88000,Lucknow Motor Works,Brake Overhaul,6000.00,"Complete brake system",Rahul Verma,"Calipers, rotors, pads, lines"
PB09QR3456,2021-11-15,3000,Patiala Service Hub,Initial Service,150.00,"First service after purchase",Gurpreet Kaur,"Oil filter, Engine oil"
PB09QR3456,2022-05-20,15000,Patiala Service Hub,Oil Change,45.00,"Regular maintenance",Gurpreet Kaur,"Engine oil, Oil filter"
PB09QR3456,2023-02-18,62800,Patiala Service Hub,Engine Tune-up,3500.00,"Major engine service",Gurpreet Kaur,"Spark plugs, wires, coils"
HR10ST7890,2022-09-15,3000,Chandigarh Auto Care,Initial Service,150.00,"First service after purchase",Ankit Sharma,"Oil filter, Engine oil"
HR10ST7890,2023-03-05,34800,Chandigarh Auto Care,Full Service,2200.00,"Annual service",Ankit Sharma,"Oil, filters, comprehensive inspection"
CT11UV1234,2019-10-15,5000,Raipur Auto Works,Initial Service,150.00,"First service after purchase",Prakash Rao,"Oil filter, Engine oil"
CT11UV1234,2020-06-20,15000,Raipur Auto Works,Oil Change,45.00,"Regular maintenance",Prakash Rao,"Engine oil, Oil filter"
CT11UV1234,2021-01-08,85800,Raipur Auto Works,Transmission Service,9000.00,"Transmission rebuild",Prakash Rao,"Transmission rebuild kit"
OR12WX5678,2020-11-15,3000,Bhubaneswar Auto Center,Initial Service,150.00,"First service after purchase",Sabyasachi Mishra,"Oil filter, Engine oil"
OR12WX5678,2021-07-15,15000,Bhubaneswar Auto Center,Oil Change,45.00,"Regular maintenance",Sabyasachi Mishra,"Engine oil, Oil filter"
OR12WX5678,2022-02-15,57800,Bhubaneswar Auto Center,AC Service,2500.00,"Air conditioning service",Sabyasachi Mishra,"AC compressor, refrigerant"
JH13YZ9012,2018-10-15,3000,Ranchi Motor Garage,Initial Service,150.00,"First service after purchase",Kumar Ravi,"Oil filter, Engine oil"
JH13YZ9012,2019-06-20,15000,Ranchi Motor Garage,Oil Change,45.00,"Regular maintenance",Kumar Ravi,"Engine oil, Oil filter"
JH13YZ9012,2020-12-20,35000,Ranchi Motor Garage,Full Service,280.00,"Annual service",Kumar Ravi,"Oil, filters, inspection"
AS14AB3456,2021-10-15,5000,Guwahati Service Station,Initial Service,150.00,"First service after purchase",Bhabesh Kalita,"Oil filter, Engine oil"
AS14AB3456,2022-06-20,15000,Guwahati Service Station,Oil Change,45.00,"Regular maintenance",Bhabesh Kalita,"Engine oil, Oil filter"
ML15CD7890,2019-10-15,3000,Shillong Auto Works,Initial Service,150.00,"First service after purchase",Lalnunmawia,"Oil filter, Engine oil"
ML15CD7890,2020-08-20,15000,Shillong Auto Works,Oil Change,45.00,"Regular maintenance",Lalnunmawia,"Engine oil, Oil filter"
ML15CD7891,2022-02-20,80800,Shillong Auto Works,Major Service,11000.00,"Complete overhaul",Lalnunmawia,"All fluids, filters, belts"
GJ16EF1234,2022-09-15,3000,Gandhinagar Auto Care,Initial Service,150.00,"First service after purchase",Nitin Mehta,"Oil filter, Engine oil"
GJ16EF1234,2023-03-04,36800,Gandhinagar Auto Care,Tire Rotation,800.00,"Tire maintenance",Nitin Mehta,"Tire rotation and balance"
KA17GH5678,2017-10-15,3000,Mysore Motor Works,Initial Service,150.00,"First service after purchase",Deepika Rao,"Oil filter, Engine oil"
KA17GH5678,2018-06-20,15000,Mysore Motor Works,Oil Change,45.00,"Regular maintenance",Deepika Rao,"Engine oil, Oil filter"
KA17GH5678,2019-01-18,94800,Mysore Motor Works,Engine Repair,18000.00,"Major engine rebuild",Deepika Rao,"Complete engine overhaul"
TN18IJ9012,2020-10-15,3000,Coimbatore Service Center,Initial Service,150.00,"First service after purchase",Mohan Kumar,"Oil filter, Engine oil"
TN18IJ9012,2021-06-20,15000,Coimbatore Service Center,Oil Change,45.00,"Regular maintenance",Mohan Kumar,"Engine oil, Oil filter"
TN18IJ9012,2022-02-12,67800,Coimbatore Service Center,Full Service,3200.00,"Comprehensive service",Mohan Kumar,"Oil, filters, full inspection"
MH19KL3456,2021-10-15,3000,Pune Auto Garage,Initial Service,150.00,"First service after purchase",Sanjay Patil,"Oil filter, Engine oil"
MH19KL3456,2022-06-20,15000,Pune Auto Garage,Oil Change,45.00,"Regular maintenance",Sanjay Patil,"Engine oil, Oil filter"
MH19KL3456,2024-03-01,42800,Pune Auto Garage,Brake Service,2800.00,"Complete brake service",Sanjay Patil,"All brake components"
AP13AE4397,2019-08-15,3000,Hyderabad Auto Care,Initial Service,150.00,"First service after purchase",Srinivas Reddy,"Oil filter, Engine oil"
AP13AE4397,2020-04-20,15000,Hyderabad Auto Care,Oil Change,45.00,"Regular maintenance",Srinivas Reddy,"Engine oil, Oil filter"
AP13AE4397,2021-02-20,32000,Hyderabad Auto Care,Full Service,280.00,"Annual service",Srinivas Reddy,"Oil, filters, inspection"
AP13AE4397,2023-12-15,35000,Hyderabad Auto Care,Oil Change,1500.00,"Oil change with inspection",Srinivas Reddy,"Oil, filters, comprehensive check"
TS08HQ7117,2020-10-15,3000,Hyderabad Service Center,Initial Service,150.00,"First service after purchase",Ramesh Kumar,"Oil filter, Engine oil"
TS08HQ7117,2021-06-20,15000,Hyderabad Service Center,Oil Change,45.00,"Regular maintenance",Ramesh Kumar,"Engine oil, Oil filter"
TS08HQ7117,2022-03-10,42000,Hyderabad Service Center,Tire Replacement,7500.00,"All four tires replaced",Ramesh Kumar,"4x Bridgestone tires"
TG13E7117,2018-10-15,3000,Warangal Auto Works,Initial Service,150.00,"First service after purchase",Anand Sharma,"Oil filter, Engine oil"
TG13E7117,2019-06-20,15000,Warangal Auto Works,Oil Change,45.00,"Regular maintenance",Anand Sharma,"Engine oil, Oil filter"
TG13E7117,2023-11-10,35000,Warangal Auto Works,Wheel Alignment,1000.00,"Wheel alignment service",Anand Sharma,"4-wheel alignment"
TG13E7117,2024-01-25,38000,Warangal Auto Works,Battery Replacement,4200.00,"Battery and electrical",Anand Sharma,"Battery, alternator, cables"
